Nama Makanan,Gambar,Deskripi,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Resep,Harga,Alergi
Babi kecap kentang,https://github.com/KostKater/ML/blob/main/Gambar/Babi%20Kecap%20Kentang.jpg?raw=true," Sejenis hidangan dengan potongan daging babi yang dimasak dengan kecap manis yang kaya rasa. Disajikan dengan kentang yang lezat, memberikan kombinasi yang sempurna antara gurih dan manis.","200 gr daging babi (cincang halus) 3 buah kentang (potong dadu)
1 buah wortel (potong dadu)
1 sdm kecap m anis
1 sdm kecap asin
1 sdm saos tiram
1 sdm gula pasir
3 siung bawang putih
5 siung bawang merah
Garam,lada, kaldu jamur,
Daun bawang","babi, kentang, wortel, kecap manis, kecap asin, saos tiram, gula, bawang putih, bawang merah, Garam, lada, kaldu jamur, Daun bawang",200,19,10,15,0,"Langkah 1
Siapkan wajan dan minyak jika wajan sudah panas masukkan bawang merah dan putih ya yang sudah di potong aduk hingga harum masukkan daging babi yang sudah di cincang aduk2 masukkan wortel tumis -+ semenit setelah itu masukkan kentang aduk rata kembali
Langkah 2
Tambahkan 200ml air dengan kecap asin, kecap manis, saos tiram, lada, garem, gula test rasa jika rasa sudah pas tutup wajan biarkan hingga air menyusut jika sudah mulai menyusut tambahkan potongan daun bawang dan siap di hidangkan","Rp40,000",Kedelai
Babi goreng saus inggris,https://github.com/KostKater/ML/blob/main/Gambar/babi%20goreng%20saus%20inggris.jpg?raw=true,"Makanan ini terdiri dari daging babi yang digoreng dengan sempurna hingga renyah di luar dan tetap juicy di dalam. Disajikan dengan saus Inggris yang memberikan sentuhan gurih dan sedikit asam, menghasilkan cita rasa yang menggugah selera.","300 gr babi paha
1 buah Bawang bombay
5 siung Bawang putih
Bahan sauce
3 sdm kecap manis
3 sdm saus inggris
2 sdm saus tomat
2 sdt gula
1 sdt garam
sedikit Air","babi, Bawang bombay, Bawang putih, kecap manis, saus inggris, saus tomat, gula, garam, Air",250,20,15,5,0,"Langkah 1
Marinasi babi pake kecap asin, lada, sedikit garam
Langkah 2
Lumuri tepung terigu, mix dengan tepung beras dan maizena lalu goreng (2x penggorengan lebih crispy)
Langkah 3
Siapkan bumbu sauce, tumis bombay bawang putih, sauce
Lalu babi goreng.. mix
","Rp50,000",Kedelai
Babi panggang endes,https://github.com/KostKater/ML/blob/main/Gambar/babi-panggang-endes.jpg?raw=true,Daging babi panggang yang juicy dan lezat dengan cita rasa yang menggoda selera.,"2 kg daging samcan
secukupnya Sea salt
secukupnya Garam meja
secukupnya Merica hitam
50 gr Daun rosemary segar
55 gr adas manis bubuk (fennel powder)
10 sdm cuka
Bahan Sambal
3 siung bawang putih
20 buah Cabai setan (atau sesuai selera)
8 buah cabai merah keriting
3 buah cabai hijau besar
1 sdm gula jawa halus
secukupnya Garam meja
secukupnya Kaldu bubuk rasa ayam
Minyak goreng untuk menumis","daging samcan, Garam, Merica, Daun rosemary, bubuk fennel, cuka, bawang putih, Cabai setan, cabai merah keriting, cabai hijau, gula jawa, Kaldu bubuk rasa ayam, Minyak goreng,Babi",200,20,15,5,0,"Langkah 1
Ambil daging samcan. Kemudian taburi bagian dagingnya dengan sea salt. Tips: sea saltnya tidak usah terlalu banyak supaya tidak keasinan.
Langkah 2
Daun rosemary segar dilepas dari batangnya. Kemudian blender daun rosemary sampai agak lembut. Balurkan daun rosemary ke bagian daging yang tadi sudah ditaburi sea salt.
Langkah 3
Taburkan adas manis ke daging tadi sampai permukaan daging tertutup. Kemudian taburi merica hitam sedikit saja.
Langkah 4
Balik posisi daging samcan, sehingga posisi kulit berada di bagian atas.
Langkah 5
Lap bagian kulit dengan tissue hingga kering. Setelah itu buat larutan cuka (10 sdm) + garam (2 sdt). Oleskan larutan cuka ke permukaan kulit yang sudah kering.
Langkah 6
Taburi bagian kulit yg sudah diolesi larutan cuka dengan garam dapur sesuai selera.
Langkah 7
Masukkan samcan ke dalam wadah dan simpan di lemari es setidaknya selama 6 jam.
Langkah 8
Keluarkan samcan yg sudah dimarinated dan tempatkan di wadah alumunium foil. Letakkan posisi kulit di sebelah atas.
Langkah 9
Panaskan oven selama kurang lebih 10 menit dengan suhu 180 derajat Celcius. Jika oven memiliki api atas dan bawah, cukup gunakan api bawah terlebih dahulu.
Langkah 10
Masukkan daging yg sudah dibungkus alumunium foil ke falam oven. Panggang selama kurang lebih 120 menit.
Langkah 11
Jika oven memiliki api atas dan bawah, hidupkan api atas selama 15 menit terakhir utk mematangkan bagian kulit.
Langkah 12
Cara membuat sambal:
Potong-potong cabai dan bawang. Panaskan minyak goreng kemudian masukkan potongan cabai dan bawang.
Langkah 13
Jika cabai dan bawang sudah terlihat sedikit layu, angkat dan pindahkan ke cobek / blender.
Langkah 14
Haluskan cabai dan bawang. Tambahkan garam dan kaldu secukupnya.
Langkah 15
Terakhir tambahkan gula jawa halus.","Rp60,000",0
Babi Orak Arik,https://github.com/KostKater/ML/blob/main/Gambar/Babi%20Orak%20Arik.jpg?raw=true,Hidangan orak-arik dengan daging babi dan sayuran segar yang memberikan rasa yang enak dan lezat.,"350 gr babi paha
Bawang merah cincang
Bawang putih cincang
Bawang bombay cincang","babi, Bawang merah, Bawang putih, Bawang bombay",250,15,10,15,0,"Langkah 1
Goreng babi supaya lebih kering, tiriskan
Langkah 2
Tiriskan sebagian minyak goreng babi uraikan, masukkan bawang bawangan
Langkah 3
Tambahi saus tiram, kecap dark soy sauce, garam, merica, arak masak sedikit (optional), daun bawang
Langkah 4
Sajikan dengan nasi hangat, abon babi, telur setengah matang","Rp30,000",0
Babi kecap Tauco,https://github.com/KostKater/ML/blob/main/Gambar/babi-kecap-tauco-.jpg?raw=true,"Daging babi dimasak dengan kecap manis dan tauco, menghasilkan hidangan yang gurih dan menggugah selera.","1/2 kg daging samcan
3 lbr daun salam
1 bh bunga lawang
1/3 btg kayu manis
8 siung bawang merah di iris halus
6 siung bawang putih di cacah kasar
2 SDM tauco asin
3 SDM angciu
2 SDM kecap asin jamur
1 SDM kecap manis
1 SDM kecap ikan
1 SDM kecap asin angsa
1/2 potong gula Jawa
1 sdt jahe bubuk
1 sdt merica bubuk
1 sdt kaldu jamu","daging samcan, daun salam, bunga lawang, kayu manis, bawang merah, bawang putih, tauco asin, angciu, kecap asin jamur, kecap manis, kecap ikan, kecap asin angsa, gula Jawa, jahe bubuk, merica bubuk, kaldu jamu,babi",300,20,15,20,0,"Langkah 1
Siapkan bahan bahan iris
Langkah 2
Tumis daun salam, kembang Lawang dan kayu manis...tunggu hingga wangi masukan bawang merah, bawang putih.. masak hingga layu
Langkah 3
Tambahkan 1 gelas air, masukan, jahe bubuk, merica dan babi yg sudah di potong potong...aduk aduk hingga bumbu merata, tambahkan angciu dan tauco
Langkah 4
Masukan semua jenis kecap dan aduk hingga rata, tambahkan air tunggu hingga daging empuk
Langkah 5
Koreksi rasa dan hidangkan","Rp40,000","Kedelai,Seafood"
Cah siomak lapcheong,https://github.com/KostKater/ML/blob/main/Gambar/cah-siomak-lapcheong-.jpg?raw=true,"Sayuran yang segar dicampur dengan lapcheong babi, menciptakan hidangan cah yang lezat dan mengenyangkan.","1 ikat siomak
1 sdt bawang putih
1 buah sosis babi
Minyak
Garam
Gula
Merica","siomak, bawang putih, sosis babi, Minyak, Garam, Gula, Merica",200,10,10,15,0,"Langkah 1
Potong siomak lalu cuci bersih
Langkah 2
Iris tipis lapcheong, tumis dengan bawang putih sampai harum lalu angkat
Langkah 3
Masukkan siomak beri garam merica dan gula. Masak sebentar lalu angkat
Langkah 4
Beri taburan bawang putih dan lapcheong","Rp35,000",0
Pork Belly Cabai Garam,https://github.com/KostKater/ML/blob/main/Gambar/pork-belly-cabai-garam-.jpg?raw=true,"Daging perut babi yang digoreng hingga renyah dengan cabai dan garam, memberikan cita rasa yang gurih dan pedas.","150 gr pork belly
75 gr bawang merah utuh
2 siung bawang putih slice
2 sdm tepung terigu
2 cm jahe parut
4 Cabai rawit
1 sdm saus tiram
Kaldu jamur
Lada","babi, bawang merah, bawang putih, tepung terigu, jahe parut, Cabai rawit, saus tiram, Kaldu jamur, Lada",400,15,35,5,0,"Langkah 1
Lumuri pork belly dengan tepung terigu, tumis dengan sedikit minyak.
Terus aduk sampai pork belly mengecil, angkat
Langkah 2
Masukan bawang merah utuh, setelah matang masukan bawang putih. Lalu masukan pork belly, jahe, Cabai.
Langkah 3
Masukan lada, kaldu jamur dan saus tiram. Aduk2 sebentar.","Rp50,000",Gandum
Ayam B2 Tahu bumbu bali,https://github.com/KostKater/ML/blob/main/Gambar/ayam-b2-tahu-bumbu-bali-.jpg?raw=true,"Potongan ayam dan tahu yang disajikan dengan bumbu khas Bali, menghasilkan hidangan yang lezat dan autentik.","250 gr ayam fillet
100 gr daging babi
2 bh tahu
Bumbu halus:
10 siung bawang merah
5 siung bawang putih
4 btr kemiri sangrai
1 ruas jari jahe
1 ruas jari kunyit
7 bh cabai merah keriting
5 bh Cabai rawit
Bumbu cemplung:
1 btg serai geprek
3 lbr daun jeruk
Secukupnya gula merah
Secukupnya terasi
Secukupnya gula pasir, kaldu bubuk
secukupnya Air putih
secukupnya Minyak goreng
2 sdm air asa","ayam, daging babi, tahu, bawang merah, bawang putih, kemiri sangrai, jahe, kunyit, cabai merah keriting, Cabai rawit, serai, daun jeruk, gula merah, terasi, gula, kaldu bubuk, Air, Minyak goreng, air asa",300,20,15,15,0,"Langkah 1
Cuci bersih daging ayam dan daging babi, potong sesuai selera (me: iris tipis kecil)
Langkah 2
Siapkan bumbu2 lainnya.
Langkah 3
Potong tahu sesuai selera, goreng sampai berkulit, sisihkan.
Langkah 4
Tumis bumbu halus sampai harum, masukkan serai dan daun jeruk. Tumis hingga bumbu matang.
Langkah 5
Masukkan terasi, gula merah, air asam lalu tambahkan sedikit air.
Masukkan daging, tunggu sampai daging berubah warna lalu masukkan garam,gula pasir, aduk2 kembal, test rasa.
Langkah 6
Masukkan tahu, masak hingga air mengental dan agak menyusut.
Langkah 7
Matikan kompor, tuang ke dalam wadah..siap disantap dengan nasi hangat.","Rp35,000",Kedelai
Tim telur topping babi cincang,https://github.com/KostKater/ML/blob/main/Gambar/tim-telur-topping-babi-cincang-.jpg?raw=true,"Telur yang dikukus dengan topping daging babi cincang, memberikan hidangan yang lezat dan beragam tekstur.","3 butir telur, kocok lepas dan saring
200 ml air mineral
bumbu : garam, merica, royco ayam
topping babi cincang
100 gr babi cincang (boleh diganti ayam/sapi)
2 siung bawang putih, rajang halus
4 butir bawang merah, rajang halus
1 sdm saus tiram
1 sdm kecap manis
1 sdt kecap asin
sedikit minyak goreng untuk menumis","telur, air, garam, merica, royco ayam, babi, bawang putih, rajang, bawang merah,  saus tiram, kecap manis, kecap asin, minyak goreng",300,15,20,10,0,"Langkah 1
Tim telur yang sudah disaring dan diberi air + bumbu. selama kurang lebih 25 menit. setelah matang sisihkan
Langkah 2
Untuk topping : tumis duo bawang hingga harum. masukkan daging babi cincang (boleh diganti ayam/sapi)
Langkah 3
Aduk hingga berubah warna
Langkah 4
Masukkan semua bumbu. test rasa
Langkah 5
Jika sudah matang, taburkan diatas tim telur beserta minyaknya agar lebih gurih","Rp45,000","Telur,Kedelai"
Babi kecap simple,https://github.com/KostKater/ML/blob/main/Gambar/babi-kecap-simple-.jpg?raw=true,"Daging babi dimasak dengan kecap manis, menciptakan hidangan sederhana namun lezat dan gurih.","1/4 kg babi
Bahan yang dihaluskan:
4 siung bawang putih
1/2 ruas jahe
1 sdm ketumbar
Bahan pelengkap :
1 ruas jahe (digeprek)
2 daun salam
9 buah cabe rawit utuh
secukupnya Kecap manis
1 sdm saus sambel
1 sdt garam
1 sdt gula pasir
1 sdt kaldu jamur
secukupnya Merica bubuk
Minyak goreng
secukupnya Air","babi, bawang putih, jahe, ketumbar, daun salam, cabai rawit, Kecap manis, saus sambel, garam, gula, kaldu jamur, Merica bubuk, Minyak goreng, Air",250,15,10,20,0,"Langkah 1
Cuci daging babi lalu potong2 sesuai selera,lalu haluskan bumbu
Langkah 2
Panaskan minyak goreng lalu tumis bumbu halus,masukan jahe geprek dan daun salam lalu aduk sampai wangi masukan daging babi aduk kembali biarkan daging sampai berwarna putih lalu tambahkan air sampai daging tenggelam
Langkah 3
Masukan garam,gula,merica,kaldu jamur dan saus sambal aduk rata sampai air mendidih lalu masukan kecap manis,jika ingin pedas tambahkan cabe rawit aduk kembali sambil biarkan mendidih dan ditest rasa
Langkah 4
Jika air sudah sedikit menyusut,daging sudah matang dan rasa sudah pas,babi kecap siap dihidangkan.selamat mencoba","Rp40,000",Kedelai
